Sample;Individual;Species;Study;Origin;Sample_type;S_region;Platform;Type;Read_length;F_Primer;R_Primer;Accession;Class;Diet;Mobility
1;D00344;I00313;CHMY;Campos2018;Wild;Scat;V1,V2,V3;Illumina MiSeq;Preprocessed (fastq);530;27f;519r;SRR5883413;Reptilia;Omnivorous;Aquatic
2;D00345;I00314;CHMY;Campos2018;Wild;Scat;V1,V2,V3;Illumina MiSeq;Preprocessed (fastq);530;27f;519r;SRR5883412;Reptilia;Omnivorous;Aquatic
3;D00346;I00315;CHMY;Campos2018;Wild;Scat;V1,V2,V3;Illumina MiSeq;Preprocessed (fastq);530;27f;519r;SRR5883411;Reptilia;Omnivorous;Aquatic
4;D00347;I00316;CHMY;Campos2018;Wild;Scat;V1,V2,V3;Illumina MiSeq;Preprocessed (fastq);530;27f;519r;SRR5883410;Reptilia;Omnivorous;Aquatic
5;D00348;I00317;CHMY;Campos2018;Wild;Scat;V1,V2,V3;Illumina MiSeq;Preprocessed (fastq);530;27f;519r;SRR5883409;Reptilia;Omnivorous;Aquatic
6;D00349;I00302;CHMY;Campos2018;Wild;Scat;V1,V2,V3;Illumina MiSeq;Preprocessed (fastq);530;27f;519r;SRR5883428;Reptilia;Omnivorous;Aquatic
7;D00350;I00303;CHMY;Campos2018;Wild;Scat;V1,V2,V3;Illumina MiSeq;Preprocessed (fastq);530;27f;519r;SRR5883427;Reptilia;Omnivorous;Aquatic
8;D00351;I00304;CHMY;Campos2018;Wild;Scat;V1,V2,V3;Illumina MiSeq;Preprocessed (fastq);530;27f;519r;SRR5883430;Reptilia;Omnivorous;Aquatic
9;D00360;I01649;CHMY;Campos2018;Captivity;Scat;V1,V2,V3;Illumina MiSeq;Preprocessed (fastq);530;27f;519r;SRR5883426;Reptilia;Omnivorous;Aquatic
10;D00361;I01650;CHMY;Campos2018;Captivity;Scat;V1,V2,V3;Illumina MiSeq;Preprocessed (fastq);530;27f;519r;SRR5883425;Reptilia;Omnivorous;Aquatic
11;D00362;I01651;CHMY;Campos2018;Captivity;Scat;V1,V2,V3;Illumina MiSeq;Preprocessed (fastq);530;27f;519r;SRR5883432;Reptilia;Omnivorous;Aquatic
12;D00363;I01652;CHMY;Campos2018;Captivity;Scat;V1,V2,V3;Illumina MiSeq;Preprocessed (fastq);530;27f;519r;SRR5883431;Reptilia;Omnivorous;Aquatic
13;D00364;I01653;CHMY;Campos2018;Captivity;Scat;V1,V2,V3;Illumina MiSeq;Preprocessed (fastq);530;27f;519r;SRR5883419;Reptilia;Omnivorous;Aquatic
14;D00365;I01654;CHMY;Campos2018;Captivity;Scat;V1,V2,V3;Illumina MiSeq;Preprocessed (fastq);530;27f;519r;SRR5883420;Reptilia;Omnivorous;Aquatic
15;D00366;I01655;CHMY;Campos2018;Captivity;Scat;V1,V2,V3;Illumina MiSeq;Preprocessed (fastq);530;27f;519r;SRR5883421;Reptilia;Omnivorous;Aquatic
16;D03235;I03676;PEMA;Schmidt2019;Captivity;Scat;V3,V4;Illumina MiSeq;PE;250;341f;805r;SRR7011576;Mammalia;Omnivorous;Terrestrial
